[391/630] Accuracy : 0.046875, loss : 3.660752534866333
[392/630] Accuracy : 0.046875, loss : 3.695081949234009
[393/630] Accuracy : 0.015625, loss : 3.774712085723877
[394/630] Accuracy : 0.078125, loss : 3.5583298206329346
[395/630] Accuracy : 0.046875, loss : 3.551269769668579
[396/630] Accuracy : 0.0625, loss : 3.919917583465576
[397/630] Accuracy : 0.046875, loss : 3.560969591140747
[398/630] Accuracy : 0.09375, loss : 3.492767095565796
[399/630] Accuracy : 0.0625, loss : 3.526580810546875
[400/630] Accuracy : 0.03125, loss : 3.759251594543457
[401/630] Accuracy : 0.046875, loss : 3.6760714054107666
[402/630] Accuracy : 0.046875, loss : 3.6457786560058594
[403/630] Accuracy : 0.0625, loss : 3.6572186946868896
[404/630] Accuracy : 0.046875, loss : 3.553276777267456
[405/630] Accuracy : 0.015625, loss : 3.684779405593872
[406/630] Accuracy : 0.078125, loss : 3.6935431957244873
[407/630] Accuracy : 0.046875, loss : 3.4632139205932617
[408/630] Accuracy : 0.046875, loss : 3.6924057006835938
[409/630] Accuracy : 0.03125, loss : 3.7972822189331055
[410/630] Accuracy : 0.0625, loss : 3.693798780441284
[411/630] Accuracy : 0.078125, loss : 3.6888766288757324
[412/630] Accuracy : 0.0625, loss : 3.7053396701812744
[413/630] Accuracy : 0.078125, loss : 3.706674575805664
[414/630] Accuracy : 0.0625, loss : 3.5780842304229736
[415/630] Accuracy : 0.03125, loss : 3.9337639808654785
[416/630] Accuracy : 0.03125, loss : 3.747340440750122
[417/630] Accuracy : 0.078125, loss : 3.558621406555176
[418/630] Accuracy : 0.03125, loss : 3.7575764656066895
[419/630] Accuracy : 0.046875, loss : 3.7863404750823975
[420/630] Accuracy : 0.0, loss : 3.7545113563537598
[421/630] Accuracy : 0.046875, loss : 3.6395795345306396
[422/630] Accuracy : 0.0625, loss : 3.596012830734253
[423/630] Accuracy : 0.0625, loss : 3.7097394466400146
[424/630] Accuracy : 0.03125, loss : 3.653815507888794
[425/630] Accuracy : 0.0625, loss : 3.823425769805908
[426/630] Accuracy : 0.03125, loss : 3.642711877822876
[427/630] Accuracy : 0.046875, loss : 3.8554282188415527
[428/630] Accuracy : 0.03125, loss : 3.6628732681274414
[429/630] Accuracy : 0.015625, loss : 3.6676275730133057
[430/630] Accuracy : 0.046875, loss : 3.842670202255249
[431/630] Accuracy : 0.09375, loss : 3.751133441925049
